question,tag,correction
"config = ( PPOConfig().rollouts(num_rollout_workers=24, batch_mode=""complete_episodes"") .resources(num_gpus=2, num_cpus_for_local_worker=40) .multi_agent( policies=policies(test_env._agent_ids), policy_mapping_fn=lambda agent_id, episode, **kwargs: str(agent_id), ) .environment(disable_env_checking=True).evaluation(evaluation_interval=10) ) how can I improve the perfmance",rllib,
whats the best way to take a return value from a remote function and pass it to another remote function. Should we pass the ref and wait in the 2nd remote func’s body?,ray-core,
"ppo_config = ( PPOConfig() .framework(""torch"") .rollouts(create_env_on_local_worker=True) .debugging(seed=0, log_level=""ERROR"") .training(model={""fcnet_hiddens"" : [32,32]}) .resources(num_gpus=1) .environment(env=CustomEnvWrapper) )",rllib,
"is each ray node connected to all others, if not, that means new connections should be established when tasks need to be schedule on other nodes, will that be slow",cluster,
How can I Fast build ray with debug mode in linux,other,
"from ray.rllib.algorithms.ppo import PPO, how to use it for traning",rllib,
"class Path_simu_270(gym.Env): def __init__(self, env_config=None): # 累积步数 self.stepcount = None # 记录累积行进路线的二维矩阵 self.path_counter = [] self.player_loc = None # agent所在的位置 self.observation_space = gym.spaces.Discrete(5) # 所有可能的节点 self.action_space = gym.spaces.Discrete(5) # 目标计数的二维数组 self.target_path_count = None # 每条流线最长步数 self.trip_step_lmt = 5 # 总步数 self.total_step_lmt = 500 def reset(self): self.player_loc = 0 # agent起始位置 self.path_counter = np.zeros((5, 5)) # 清空路径计数器 self.stepcount = 0 # 清空累积步数 return self.observation() def observation(self): return self.player_loc def reward(self): # 计算实际累积矩阵和目标累积矩阵的交叉熵 return cross_entropy(self.path_counter, target_path_count) def done(self): is_done = self.stepcount >= self.total_step_lmt return is_done def is_valid_loc(self, target_loc): """""" 判断是否是合法路径 :param target_loc: :return: """""" return connectivity_matrix[self.player_loc][target_loc] > 0 def step(self, action): # Compute the new player location if self.stepcount%self.trip_step_lmt != 0: # 如果还未达到步数 if self.is_valid_loc(action): # 如果有连接节点 self.path_counter[self.player_loc][action] += 1 self.player_loc = action else: # 如果达到步数限制，回到0点位置 self.player_loc = 0 self.stepcount += 1 return self.observation(), self.reward(), self.done(), {} def render(self, mode=""human""): update_screen(self.path_counter) def close(self): pygame.quit() class Path_simu_270(gym.Env): def __init__(self, env_config=None): # 累积步数 self.stepcount = None # 记录累积行进路线的二维矩阵 self.path_counter = [] self.player_loc = None # agent所在的位置 self.observation_space = gym.spaces.Discrete(5) # 所有可能的节点 self.action_space = gym.spaces.Discrete(5) # 目标计数的二维数组 self.target_path_count = None # 每条流线最长步数 self.trip_step_lmt = 5 # 总步数 self.total_step_lmt = 500 def reset(self): self.player_loc = 0 # agent起始位置 self.path_counter = np.zeros((5, 5)) # 清空路径计数器 self.stepcount = 0 # 清空累积步数 return self.observation() def observation(self): return self.player_loc def reward(self): # 计算实际累积矩阵和目标累积矩阵的交叉熵 return cross_entropy(self.path_counter, target_path_count) def done(self): is_done = self.stepcount >= self.total_step_lmt return is_done def is_valid_loc(self, target_loc): """""" 判断是否是合法路径 :param target_loc: :return: """""" return connectivity_matrix[self.player_loc][target_loc] > 0 def step(self, action): # Compute the new player location if self.stepcount%self.trip_step_lmt != 0: # 如果还未达到步数 if self.is_valid_loc(action): # 如果有连接节点 self.path_counter[self.player_loc][action] += 1 self.player_loc = action else: # 如果达到步数限制，回到0点位置 self.player_loc = 0 self.stepcount += 1 return self.observation(), self.reward(), self.done(), {} def render(self, mode=""human""): update_screen(self.path_counter) def close(self): pygame.quit() this is my env in gym, how to upgrade it into gymnasium",ray-core,rllib
can Ray tune scripts be run on different nodes in the cluster,cluster,
how can i ignore the ray reinit,ray-core,
How do i specify metrics_report_batch_size config,train,ray-core
how can I specify the middlewares to use for the http server of ray serve ?,serve,
"ValueError: Expected parameter probs (Tensor of shape (4, 31601)) of distribution OneHotCategorical() to satisfy the constraint Simplex(), but found invalid values:",rllib,
What commercial values can you attain in media and creative industry?,rllib,other
"the old version rlllib was using gym, but the new version is using the gymnasium, how should i change the code when moving to the new version",other,rllib
how to debug the pytest of ray,ray-observability,
What python version is supported?,cluster,other
"how to make each of ray worker to read a partial of files? For example, I have 100 files, 20 workers",cluster,other
how to import checkpoint,tune,train
Can we interleave the results of multiple generators?,tune,other
How can we parallelize multiple generators,ray-core,
how to add debug,ray-observability,
how do i use the cluster launcher with a local cluster?,cluster,
whats the best way to chain a series of ray takss together — each of which feed into each other — in a pipeline fashion,ray-core,
"explain to me the parameters max_seq_len, attention_memory_training and attention_memory_inference for the attention_net of rllib.",rllib,
what does cache_stopped_nodes do,ray-core,cluster
how to serve llm with ray,serve,
is it possible to create multiple deployment handle of the same class with different ray_actor_options,serve,
how to pass config to a custom model,rllib,
how to change the directory where ray outputs logs,cluster,
bootstrap on regression model,rllib,
Does Ray work with spot instances? How does it handle preemption?,other,
"Write a custom network class that replicates this architecture: ""model"": { ""conv_filters"": [ [16, [8, 8], 1], [32, [4, 4], 1], ], ""post_fcnet_hiddens"": [64, 64], ""post_fcnet_activation"": ""relu"", } My observation input is a 11x11x3 RGB image",rllib,
"Write a custom network class that replicates this architecture: ""model"": { ""conv_filters"": [ [16, [8, 8], 1], [32, [4, 4], 1], ], ""post_fcnet_hiddens"": [64, 64], ""post_fcnet_activation"": ""relu"", }",rllib,
how can i configurate my custom models?,rllib,
How to increase ml model throughout,cluster,train
delete memory from blocks in dataset,data,
"How can I print the input to my model during training to ensure that it is a 11x11x3 array? tuner = tune.Tuner( trainer, param_space=configs.to_dict(), run_config=air.RunConfig(name = exp_config['name'], callbacks=wdb_callbacks, local_dir=exp_config['dir'], stop=exp_config['stop'], checkpoint_config=ckpt_config, verbose=0), ) results = tuner.fit()",tune,
What's the difference between fcnet_hiddens and post_fcent_hiddens in model config?,rllib,
What is the difference between the train_batch_size and sample_batch_size parameters,data,rllib
How do I specify a padding of 0 in the conv layers in model config?,rllib,
I have an environment myEnvironment. How can I train this with PPO using Ray Tune?,tune,
How do I pass an environment to tune.run()?,tune,
"Im struggling to understand scaling with kubernetes and kuberay versus scaling within the deploy code and the autoscaler, if I set a cpu resource in the code, must my yaml reflect that compute?",cluster,
How to set the dataset ExecutionOptions,data,
how to scale up my endpoint,cluster,serve
"When using rllib, please expand on when a user should set the num_gpus parameter and when the user should set the num_gpus_per_learner_worker parameter. Could you also explain the difference between the two parameters?",rllib,
Can I call actor_pool.map_unordered returning inmediatily without waiting the result?,ray-core,
"raise ValueError(""Setting 'max_calls' is not supported in '.options()'."") ValueError: Setting 'max_calls' is not supported in '.options()'.",ray-core,
how can i use conda to install tensorflow-gpu,other,
"in rllib, how do I print the number of completed training steps during a tune run?",tune,rllib
how do I setup a multiagent system in RLLib/,rllib,
how to use the RLModel in the collection case,rllib,
What port does ray listen to for grpc calls,ray-core,
